id,value
Codes for special purposes,1596590595 
Codes for special purposes.International provisional assignment of new diseases of uncertain aetiology,486488173 
Codes for special purposes.International provisional assignment of new diseases of uncertain aetiology.International emergency code 01,2103512582 
Codes for special purposes.International provisional assignment of new diseases of uncertain aetiology.International emergency code 02,1730556128 
Codes for special purposes.International provisional assignment of new diseases of uncertain aetiology.International emergency code 03,2024855916 
Codes for special purposes.International provisional assignment of new diseases of uncertain aetiology.International emergency code 04,1195031154 
Codes for special purposes.International provisional assignment of new diseases of uncertain aetiology.International emergency code 05,111539141 
Codes for special purposes.International provisional assignment of new diseases of uncertain aetiology.International emergency code 06,930392961 
Codes for special purposes.International provisional assignment of new diseases of uncertain aetiology.International emergency code 07,1837290846 
Codes for special purposes.International provisional assignment of new diseases of uncertain aetiology.International emergency code 08,205741735 
Codes for special purposes.International provisional assignment of new diseases of uncertain aetiology.International emergency code 09,1750270516 
Codes for special purposes.International provisional assignment of new diseases of uncertain aetiology.International emergency code 10,1473863978 
Codes for special purposes.National provisional assignment of new diseases of uncertain aetiology,311473325 
Codes for special purposes.National provisional assignment of new diseases of uncertain aetiology.National emergency code 01,471849326 
Codes for special purposes.National provisional assignment of new diseases of uncertain aetiology.National emergency code 02,1400642551 
Codes for special purposes.National provisional assignment of new diseases of uncertain aetiology.National emergency code 03,479439376 
Codes for special purposes.National provisional assignment of new diseases of uncertain aetiology.National emergency code 04,2102435849 
Codes for special purposes.National provisional assignment of new diseases of uncertain aetiology.National emergency code 05,1552407429 
Codes for special purposes.National provisional assignment of new diseases of uncertain aetiology.National emergency code 06,170555375 
Codes for special purposes.National provisional assignment of new diseases of uncertain aetiology.National emergency code 07,1787280710 
