id,value
Special Views,1801349023 
Special Views.Special tabulation list of infectious agents,553864676 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent,226161163 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria,434814373 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomadura,1343052245 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomadura.Actinomycetoma due to Actinomadura species,1653106489 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces,203879356 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces.Actinomycosis,1697630330 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces.Actinomycosis.Pulmonary actinomycosis,452367246 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces.Actinomycosis.Abdominal actinomycosis,2143116824 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces.Actinomycosis.Abdominal actinomycosis.Enteritis due to Actinomyces,1411711614 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces.Actinomycosis.Abdominal actinomycosis.Colitis due to Actinomyces,1246116465 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces.Actinomycosis.Cervicofacial actinomycosis,185601767 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces.Actinomycosis.Primary cutaneous actinomycosis,413315344 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces.Actinomycosis.Myelitis associated with actinomyces,1252521920 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces.Colitis due to Actinomyces,1246116465 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces.Abdominal actinomycosis,2143116824 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces.Abdominal actinomycosis.Enteritis due to Actinomyces,1411711614 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Actinomyces.Abdominal actinomycosis.Colitis due to Actinomyces,1246116465 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Bacillus,287571111 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Bacillus.Infections due to Bacillus anthracis,561957561 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Bacillus.Infections due to Bacillus anthracis.Anthrax,1321303663 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Bacillus.Infections due to Bacillus anthracis.Anthrax.Cutaneous anthrax,2057984300 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Bacillus.Infections due to Bacillus anthracis.Anthrax.Pulmonary anthrax,534877374 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Bacillus.Infections due to Bacillus anthracis.Anthrax.Gastrointestinal anthrax,1800193089 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Bacillus.Infections due to Bacillus anthracis.Anthrax.Gastrointestinal anthrax.Anthrax colitis,503569003 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Bacillus.Infections due to Bacillus cereus,1861209671 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Bacillus.Infections due to Bacillus cereus.Foodborne Bacillus cereus intoxication,1722068323 
Special Views.Special tabulation list of infectious agents.Infectious diseases by infectious agent.Infections due to Bacteria.Infections due to Bacteroides,408099878 
